"nodeID","nodeLabel","longitud","latitud","mode","year"
1,"Willow Lawn",-77.4161713282172,37.5213168675421,"brt",2018
2,"Staples Mill",-77.4219615339715,37.529462949307,"brt",2018
3,"Scott's Addition",-77.4967936217271,37.5843691989059,"brt",2018
4,"Science Museum",-77.4920623226613,37.5804749401902,"brt",2018
5,"Allison St.",-77.4738876700342,37.5652938701092,"brt",2018
6,"VCU & VUU",-77.467218958161,37.5607385302664,"brt",2018
7,"Arts District",-77.4625006042645,37.5579309849791,"brt",2018
8,"Convention Center",-77.4541902342635,37.5529470315425,"brt",2018
9,"Government Center",-77.443032313941,37.5462971364686,"brt",2018
10,"VCU Medical Center",-77.438792993744,37.5437503234859,"brt",2018
11,"Main Street Station",-77.4338841509869,37.5408219067924,"brt",2018
12,"Shockoe Bottom",-77.4312968676481,37.5392590296221,"brt",2018
13,"East Riverfront",-77.4295944267836,37.5341225890236,"brt",2018
14,"Rocketts Landing",-77.4151516954692,37.5177428548951,"brt",2018
