"nodeID","nodeLabel","longitud","latitud","mode","year"
1,"Pirajá",-38.4634711,-12.9784534,"default",2015
2,"Detran",-38.5076631,-12.9791735,"default",2016
3,"Rodoviária",-38.4669512,-12.9215365,"default",2016
4,"Pernambués",-38.4710968,-12.9780026,"default",2017
5,"Brotas",-38.4577043,-12.975744,"default",2014
6,"Bonocô",-38.512226,-12.9823236,"default",2015
7,"Bom Juá",-38.4721686,-12.9562597,"default",2015
8,"CAB",-38.4056007,-12.9379933,"default",2017
9,"Pituaçu",-38.3589751,-12.9215276,"default",2017
10,"Imbuí",-38.3944504,-12.9346598,"default",2017
11,"Acesso Norte",-38.3812366,-12.9257564,"default",2014
12,"Acesso Norte",-38.4213097,-12.9454033,"default",2014
13,"Retiro",-38.4990955,-12.9793224,"default",2014
14,"Flamboyant",-38.4837779,-12.9838851,"default",2017
15,"Mussurunga",-38.4705327,-12.9406121,"default",2017
16,"Tamburugy",-38.4289499,-12.9557462,"default",2017
17,"Bairro da Paz",-38.4361352,-12.964418,"default",2017
18,"Lapa",-38.4771862,-12.9689433,"default",2014
