"nodeID","nodeLabel","longitud","latitud","mode","year"
1,"Embarcadero",-122.4079823885,37.7949543825141,"heavy_rail",1976
2,"Embarcadero",-122.406479104953,37.787548263826,"light_rail",1976
3,"Montgomery",-122.401128410554,37.7820638817614,"heavy_rail",NA
4,"Montgomery",-122.396500519232,37.7783756939101,"heavy_rail",NA
5,"Embarcadero",-122.267243225306,37.8282347197161,"light_rail",1976
6,"Powell",-122.397787080005,37.718558381037,"heavy_rail",NA
7,"Civic Center",-122.401935609872,37.7123883544486,"heavy_rail",1973
8,"16th Street",-122.40484364033,37.7094917748657,"heavy_rail",NA
9,"Glen Park",-122.39566825544,37.7224297244028,"heavy_rail",NA
10,"Balboa Park",-122.394291208312,37.7255103987257,"heavy_rail",NA
11,"24th Street",-122.392675343051,37.7292460244199,"heavy_rail",NA
12,"Chinatown",-122.391693377112,37.7320188111478,"light_rail",2021
13,"Union Square",-122.39085452224,37.7344433637461,"light_rail",2021
14,"Yerba Buena / Moscone",-122.389747037156,37.7375891936392,"light_rail",2021
15,"4th and Brannan",-122.389178857607,37.7391893507338,"light_rail",2021
16,"West Oakland",-122.387953911171,37.7427347634602,"heavy_rail",1974
17,"Concord",-122.387462936292,37.7490089710175,"heavy_rail",1973
18,"MacArthur",-122.38801260176,37.7553773250862,"heavy_rail",1972
19,"MacArthur",-122.388572980619,37.7604864597216,"heavy_rail",1972
20,"Berryessa/North San José",-122.388876054833,37.7643221786726,"heavy_rail",2020
21,"Berryessa/North San José",-122.389283245312,37.7688121726547,"heavy_rail",2020
22,"Milpitas",-122.39401931992,37.7763432451165,"heavy_rail",2020
23,"Milpitas",-122.389699691018,37.7729258140781,"heavy_rail",2020
24,"Pittsburg/Bay Point",-122.389613588433,37.7798522952154,"heavy_rail",1996
25,"Antioch",-122.388068283732,37.7843524967429,"heavy_rail",2018
26,"Pittsburg/Bay Point",-122.389194823391,37.790209648484,"heavy_rail",1996
27,"San Francisco 4th and King",-122.394309817423,37.7955079138265,"commuter_rail",1985
28,"South San Francisco",-122.387013562623,37.6001965175181,"commuter_rail",1909
29,"Ashby",-122.41145767465,37.630218522601,"heavy_rail",1973
30,"Ashby",-122.468908253748,37.7062320830296,"heavy_rail",1973
31,"West Portal",-122.401067334038,37.7896229412761,"light_rail",1918
32,"West Portal",-122.41969860931,37.7650770656095,"light_rail",1918
33,"West Portal",-122.433518922735,37.7329974918535,"light_rail",1918
34,"12th Street Oakland City Center",-122.44751845981,37.7215804482883,"heavy_rail",1972
35,"12th Street Oakland City Center",-122.418461881155,37.7522570707472,"heavy_rail",1972
36,"12th Street Oakland City Center",-122.465790975815,37.7409724597992,"heavy_rail",1972
37,"19th Street Oakland",-122.391806489758,37.616233422423,"heavy_rail",1972
38,"19th Street Oakland",-122.443943295215,37.6642146284299,"heavy_rail",1972
39,"19th Street Oakland",-122.466222259237,37.6846414328867,"heavy_rail",1972
40,"MacArthur",-122.4069162576,37.784987249109,"heavy_rail",1972
41,"San Francisco Airport",-122.395067515377,37.7943724526315,"heavy_rail",2003
42,"San Francisco Airport",-122.429427948795,37.7672583766763,"heavy_rail",2003
43,"San Francisco Airport",-122.419304120831,37.7752707970299,"heavy_rail",2003
44,"Millbrae",-122.413572141508,37.7798013261485,"heavy_rail",2003
45,"Millbrae",-122.43521974694,37.7627146519914,"heavy_rail",2003
46,"Millbrae",-122.2951309225,37.8049146254775,"heavy_rail",2003
47,"South San Francisco",-122.266070856074,37.797179234823,"heavy_rail",2003
48,"South San Francisco",-122.224041470465,37.7748514375718,"heavy_rail",2003
49,"South San Francisco",-122.028892872542,37.9741843333575,"heavy_rail",2003
50,"Colma",-121.976629740159,37.5574561958113,"heavy_rail",1996
51,"Colma",-121.939324187067,37.5021432214945,"heavy_rail",1996
52,"Colma",-121.874620106269,37.3684401732456,"heavy_rail",1996
53,"Bayshore",-121.891006967077,37.4102233250364,"commuter_rail",1907
54,"22nd Street",-121.780344536867,37.9953789167424,"commuter_rail",1907
55,"Millbrae",-121.88911862846,38.0168579852948,"heavy_rail",2003
56,"San Bruno",-122.271749835001,37.803292122849,"heavy_rail",1863
57,"San Bruno",-122.268979920424,37.8078232368221,"heavy_rail",1863
58,"San Bruno",-122.401869992571,37.707645376498,"heavy_rail",1863
59,"Ocean View",-122.392423633745,37.7572541880084,"commuter_rail",1864
60,"Ocean View",-122.45595355084,37.7104829829161,"commuter_rail",1864
61,"Daly City",-122.269992894608,37.8522845020537,"heavy_rail",1864
62,"Powell",-122.40499720189,37.6557250002225,"heavy_rail",NA
63,"Powell",-122.395016115948,37.7763500920972,"heavy_rail",NA
