"nodeID","nodeLabel","longitud","latitud","mode","year"
1,"Hato Rey",-66.0589433,18.4232292,"heavy_rail",2004
2,"Sagrado Corazón",-66.0523058,18.3991963,"heavy_rail",2004
3,"Piñero",-66.0518209,18.4053714,"heavy_rail",2004
4,"Domenech",-66.0626974,18.3908549,"heavy_rail",2004
5,"Roosevelt",-66.0827638,18.3908411,"heavy_rail",2004
6,"Río Piedras",-66.0745273,18.3914441,"heavy_rail",2004
7,"Universidad",-66.0602693,18.4293299,"heavy_rail",2004
8,"Cupey",-66.0604581,18.4362793,"heavy_rail",2004
9,"San Francisco",-66.0554314,18.4108695,"heavy_rail",2004
10,"Centro Médico",-66.0564091,18.4152668,"heavy_rail",2004
11,"Las Lomas",-66.0939135,18.3907977,"heavy_rail",2004
12,"Martínez Nadal",-66.1018658,18.391224,"heavy_rail",2004
13,"Jardines",-66.1277329,18.3940231,"heavy_rail",2004
14,"Deportivo",-66.1495251,18.3943214,"heavy_rail",2004
15,"Torrimar",-66.1190462,18.3918643,"heavy_rail",2004
16,"Bayamón",-66.1537874,18.4002714,"heavy_rail",2004
