"nodeID","nodeLabel","longitud","latitud","mode","year"
1,"Errekalde",-2.0072715,43.2787641,"default",0
2,"Intxaurrondo",-1.9548312,43.3142328,"default",2012
3,"Añorga",-1.9945638,43.2918238,"default",0
4,"Pasaia",-1.9180106,43.3182037,"default",1912
5,"Amara",-1.9814982,43.3126297,"default",0
6,"Herrera",-1.9375686,43.3199543,"default",0
7,"Galtzaraborda",-1.9064418,43.3124064,"default",0
8,"Irun Ficoba",-1.7865014,43.3493022,"default",1913
9,"Loiola",-1.9679528,43.3104742,"default",0
10,"Anoeta",-1.9746188,43.302393,"default",1993
11,"Lasarte-Oria",-2.0201442,43.2708292,"default",1998
12,"Altza",-1.9309949,43.3164512,"default",2016
13,"Errenteria",-1.8990985,43.3111409,"default",1912
14,"Lugaritz",-2.000252,43.3027081,"default",2005
15,"Hernani",-1.9637993,43.2724133,"default",0
16,"Oiartzun",-1.8798415,43.3086426,"default",0
17,"Usurbil",-2.0529864,43.268644,"default",0
18,"Aia-Orio",-2.1260391,43.2742268,"default",0
19,"Intxaurrondo",-1.9527625,43.3201672,"default",0
20,"Gaintxurizketa",-1.8575853,43.3267424,"default",0
21,"Bentak",-1.817043,43.330349,"default",0
22,"Hernani Centro",-1.9732462,43.2656693,"default",0
23,"Donostia / San Sebastián",-1.9766848,43.3177148,"default",0
24,"Andoain Centro",-2.0203456,43.2155284,"default",0
25,"Pasaia",-1.9170847,43.3189681,"default",0
26,"Urnieta",-1.9881449,43.2478638,"default",0
27,"Gros",-1.9732992,43.321967,"default",0
28,"Martutene",-1.956301,43.299079,"default",0
29,"Hendaia",-1.7821484,43.3524968,"default",1913
30,"Fanderia",-1.889295,43.3082791,"default",2011
31,"Lezo-Rentería",-1.8993303,43.3159433,"default",0
32,"Irun",-1.7960868,43.3410569,"default",0
33,"Andoain",-2.0156385,43.2221548,"default",0
34,"Ategorrieta",-1.9589119,43.3203466,"default",0
35,"Loiola",-1.9636539,43.3045436,"default",0
36,"Boulevard",-1.98306622914828,43.3172177330654,"bus",NA
37,"Urbieta 20",-1.98424675355091,43.3219797014471,"bus",NA
