"nodeID","nodeLabel","longitud","latitud","mode","year"
1,"Varginha",-46.7147879308226,-23.76661726739,"heavy_rail",NA
2,"Mendes",-46.7067964380596,-23.7485930477133,"heavy_rail",NA
3,"Aeroporto",-46.4928078074659,-23.4326400933044,"heavy_rail",2018
4,"Guarulhos - CECAP",-46.520474164089,-23.4977495080526,"heavy_rail",2018
5,"Vila Sônia",-46.6957126032136,-23.4635045395539,"heavy_rail",2021
6,"Engenheiro Goulart",-46.5286244645125,-23.5999246335047,"heavy_rail",2017
7,"São Mateus",-46.699600285109,-23.6416842867371,"heavy_rail",2019
8,"Brasilândia",-46.6731070587511,-23.5610176787103,"heavy_rail",NA
9,"Vila União",-46.6740431883607,-23.5365209508857,"heavy_rail",2018
10,"Higienópolis - Mackenzie",-46.5383734991746,-23.59474938514,"heavy_rail",2018
11,"Perdizes",-46.5012428569837,-23.614715602822,"heavy_rail",NA
12,"Oscar Freire",-46.5449200828247,-23.5885882160255,"heavy_rail",2018
13,"Alto da Boa Vista",-46.3030916586712,-23.778043338911,"heavy_rail",2017
14,"Jardim Planalto",-46.6499018028057,-23.555682229204,"heavy_rail",2019
15,"Paranapiacaba",-46.5087956310084,-23.6049809089217,"light_rail",1867
16,"São Paulo - Morumbi",-46.5165330715725,-23.6028761633558,"heavy_rail",2018
17,"14 Bis",-46.4870201425853,-23.6112981046689,"heavy_rail",NA
18,"Fazenda da Juta",-46.8345790802174,-23.4008253273628,"heavy_rail",2019
19,"Natura",-46.6591809130964,-23.5466067061652,"light_rail",2008
20,"Angélica - Pacaembu",-46.6829888170034,-23.5293570549185,"heavy_rail",NA
21,"SESC - Pompeia",-46.7761974274046,-23.3988092211257,"heavy_rail",NA
22,"São Lucas",-46.7892569016537,-23.4042616792889,"heavy_rail",2018
23,"Mineral",-46.7236077980552,-23.5866476930099,"light_rail",1914
24,"Ecologia",-46.0582242016989,-23.4589449306778,"light_rail",1914
25,"Sapopemba",-46.6648088421151,-23.5417422011944,"heavy_rail",2019
26,"Luis Carlos",-46.6537579351644,-23.5498329914723,"light_rail",1914
27,"Camilo Haddad",-46.6909068658819,-23.5152893506923,"heavy_rail",2018
28,"Vila Tolstói",-46.6935638219152,-23.5022378436352,"heavy_rail",2018
29,"PUC - Cardoso de Almeida",-46.6922317161773,-23.6326627440589,"heavy_rail",NA
30,"Santa Marina",-46.6952283470593,-23.613519175316,"heavy_rail",NA
31,"Freguesia do Ó",-46.6791266151858,-23.6219707881269,"heavy_rail",NA
32,"Chucri Zaidan",-46.6433807008888,-23.5603807541924,"heavy_rail",NA
33,"Bela Vista",-46.6825460283833,-23.6190793185826,"heavy_rail",999999
34,"Jardim Aeroporto",-46.687914742475,-23.6264139406792,"heavy_rail",NA
35,"Hospital São Paulo",-46.6685035282917,-23.6102294777766,"heavy_rail",2018
36,"AACD - Servidor",-46.67437394442,-23.629028055304,"heavy_rail",2018
37,"Eucaliptos",-46.6661565047934,-23.6354014416806,"heavy_rail",2018
38,"Moema",-46.6389048679011,-23.5617223183996,"heavy_rail",2018
39,"São Joaquim",-46.6534132250558,-23.5496748926238,"heavy_rail",NA
40,"Brooklin Paulista",-46.6614510719854,-23.6274630389516,"heavy_rail",NA
