"nodeID","nodeLabel","longitud","latitud","mode","year"
1,"高鐵臺中站",120.6399787,24.1143585,"heavy_rail",2021
2,"烏日",120.6475913,24.1190346,"heavy_rail",2021
3,"九德",120.6138543,24.1100712,"heavy_rail",2021
4,"九張犁",120.6248579,24.1088508,"heavy_rail",2021
5,"大慶",120.6343685,24.1109113,"heavy_rail",2021
6,"松竹",120.6705902,24.1736917,"heavy_rail",2021
7,"四維國小",120.6849892,24.1721573,"heavy_rail",2021
8,"文心崇德",120.6932516,24.1712328,"heavy_rail",2021
9,"文心中清",120.7014125,24.1807097,"heavy_rail",2021
10,"文華高中",120.6467455,24.1405498,"heavy_rail",2021
11,"文心櫻花",120.6467561,24.145445,"heavy_rail",2021
12,"市政府",120.6468331,24.15324,"heavy_rail",2021
13,"水安宮",120.6492486,24.162092,"heavy_rail",2021
14,"文心森林公園",120.6539069,24.16776,"heavy_rail",2021
15,"南屯",120.6606656,24.1714865,"heavy_rail",2021
16,"豐樂公園",120.6464972,24.1323363,"heavy_rail",2021
17,"舊社",120.7073149,24.182302,"heavy_rail",2021
18,"北屯總站",120.708858,24.1891861,"heavy_rail",2021
19,"台中",120.6158129,24.1121103,"high_speed_rail",2007
