"nodeID","nodeLabel","longitud","latitud","mode","year"
1,"Sipelem",109.12078797283,-6.86864524968229,"default",0
2,"Terminal Lawas",109.13643863714,-6.8701762778784,"default",0
3,"Gili Tugel",109.136503125256,-6.86734936089795,"default",0
4,"Masjid Agung",109.13697964732,-6.86355959591944,"default",0
5,"Pasar Pagi",109.137713641677,-6.85932404569196,"default",0
6,"Klenteng",109.142867607745,-6.8507852068049,"default",0
7,"Balkotwas",109.259135580741,-6.87360738318566,"default",0
8,"PAI",109.188265473258,-6.86540659995886,"default",0
9,"Purwahamba",109.173272385022,-6.85975555796389,"default",0
10,"Larangan",109.156613397637,-6.86048021881214,"default",0
11,"Takaru",109.15511534237,-6.86654744491018,"default",0
12,"Dampyak",109.151137044992,-6.88583546525525,"default",0
13,"Pala Raya",109.143155577717,-6.88612482089596,"default",0
14,"Pasar Mejasem",109.136202185473,-6.88544061857296,"default",0
15,"Pasar Langon",109.136213785039,-6.87813238130497,"default",0
16,"Kejambon",109.136325763974,-6.87385218899902,"default",0
17,"Srigunting",109.136415058069,-6.87035085189171,"default",0
18,"Mangunkusuman",109.133434653318,-6.86719690171124,"default",0
19,"Gili Tugel",109.134042561893,-6.86339349653831,"default",0
20,"Dr Soetomo",109.134748268947,-6.85952148043673,"default",0
21,"Gajah Mada",109.137636318445,-6.85991005002714,"default",0
22,"Pasar Sore",109.143679049472,-6.85555152806113,"default",0
23,"Klenteng",109.149846381506,-6.85242947250126,"default",0
24,"Setiabudhi",109.135860820439,-6.88541426788684,"default",0
25,"Pasar Beras",109.130732610425,-6.88433656207938,"default",0
26,"Martoloyo",109.126316203945,-6.88302688256603,"default",0
27,"Kejambon",109.127420453241,-6.87520413000126,"default",0
28,"Randu Gunting",109.13009685421,-6.86343301507353,"default",0
29,"Tirus",109.131590651605,-6.85850306927087,"default",0
30,"Sudibyo",109.128818601784,-6.86929459423484,"default",0
31,"Terminal Lawas",109.12839368982,-6.86851473859259,"default",0
32,"Asem Tiga",109.138203340877,-6.85650451297223,"default",0
33,"Hang Tuah",109.141049315067,-6.8595222627291,"default",0
34,"Jongor",109.125548895324,-6.85324643018687,"default",0
35,"Cinde",109.120540263999,-6.8573988775526,"default",0
36,"Kaligangsa",109.076773492172,-6.8780712927598,"default",0
37,"Terminal Anyar",109.109915509401,-6.87373444576643,"default",0
38,"Sipelem",109.12076798048,-6.86846015039103,"default",0
39,"Sipelem",109.120827562496,-6.86880688690985,"default",0
40,"Sudibyo",109.127319041579,-6.8751832691723,"default",0
41,"Srigunting",109.136347269384,-6.87818455841516,"default",0
42,"Wisanggeni",109.141691938876,-6.87862755825428,"default",0
43,"Stasiun",109.14244449283,-6.87351955250487,"default",0
44,"Jati Segara Wening",109.142550231445,-6.86978300295158,"default",0
45,"Pala Raya",109.150260069974,-6.86990498661062,"default",0
46,"Jongor",109.154923026134,-6.86655996341628,"default",0
47,"Balkotwas",109.125617064647,-6.85320342929799,"default",0
48,"Setiabudhi",109.137875679417,-6.85686490454245,"default",0
49,"Taman Poci",109.141382579663,-6.85935235488489,"default",0
50,"Pasar Langon",109.142240458946,-6.86314912744585,"default",0
51,"Wisanggeni",109.143071278671,-6.88600196004452,"default",0
52,"Yos Sudarso",109.141806961286,-6.87887998618522,"default",0
53,"Stasiun",109.142598368096,-6.873216567597,"default",0
54,"Kaligangsa",109.142579286347,-6.86927609376787,"default",0
55,"Cabawan",109.076848303711,-6.87812570589617,"default",0
56,"Sumur Panggang",109.088856282193,-6.88161600227093,"default",0
57,"Terminal Anyar",109.10451554848,-6.88156383295657,"default",0
58,"Pesurungan",109.110026871262,-6.87404951570144,"default",0
59,"Muarareja",109.110026872443,-6.8476864367324,"default",0
60,"Jongor",109.125336687733,-6.85306610220941,"default",0
61,"Sumur Panggang",109.10845191702,-6.86295518227837,"default",0
62,"Debong",109.104616078042,-6.88157706428909,"default",0
63,"Martoloyo",109.116577362809,-6.88142795110983,"default",0
64,"Dampyak",109.149886804382,-6.85219970879002,"default",0
