"nodeID","nodeLabel","longitud","latitud","mode","year"
1,"Wellington Station",174.780549329981,-41.2788327924993,"heavy_rail",1937
2,"Crofton Downs Station",174.86956163948,-41.2220116970712,"heavy_rail",1963
3,"Ngaio Station",174.766301459443,-41.2553696816467,"heavy_rail",1885
4,"Awarua Street",174.771816736598,-41.2510354286256,"heavy_rail",1938
5,"Simla Crescent",174.774181060169,-41.2465444316521,"heavy_rail",1938
6,"Raroa Station",174.784282871505,-41.2467993481178,"heavy_rail",1940
7,"Johnsonville Station",174.793242593342,-41.2428898378109,"heavy_rail",1885
8,"Wellington Station",174.801784499128,-41.2323081752082,"heavy_rail",1937
9,"Takapu Road",174.804830126999,-41.2233589121583,"heavy_rail",1937
10,"Redwood ",174.828321336162,-41.1852954185192,"heavy_rail",1963
11,"Tawa",174.826918240293,-41.1763988776558,"heavy_rail",1885
12,"Linden",174.828304523896,-41.1692616292164,"heavy_rail",1940
13,"Kenepuru",174.831894830295,-41.1590548587833,"heavy_rail",1963
14,"Porirua",174.838115235088,-41.1497901969561,"heavy_rail",1885
15,"Paremata ",174.843335370472,-41.1374991613381,"heavy_rail",1885
16,"Mana ",174.866128727874,-41.1063838969585,"heavy_rail",1949
17,"Plimmerton",174.868251189169,-41.0953682513683,"heavy_rail",1881
18,"Pukerua Bay",174.86715470651,-41.0838930801184,"heavy_rail",1885
19,"Paekakariki ",174.886591907603,-41.0380547137455,"heavy_rail",1886
20,"Waikanae",174.954215148398,-40.9871383348034,"heavy_rail",1882
21,"Petone",175.007168050899,-40.9165815830874,"heavy_rail",1874
22,"Petone",175.066210563932,-40.8766438294296,"heavy_rail",1874
23,"Western Hutt",174.889957855752,-41.211985680339,"heavy_rail",1874
24,"Melling",174.905392725364,-41.2035818696627,"heavy_rail",1908
25,"Wellington Station",174.813576678966,-41.2486967984768,"heavy_rail",1937
